#Nperloop            	Grad_step           	Flag                	Surf_distance       	Time_eval           	Time_taken          	Anlt                	num_avg             	num_std             
     1.00000000E+001	     6.25000000E-002	     3.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.86464000E-001	     4.41455329E-001	     1.83953530E+000	     1.54839074E+000
     1.00000000E+001	     6.25000000E-002	     4.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.22178000E-001	     4.41455329E-001	    -9.71935011E-001	     1.51232397E+000
     1.00000000E+001	     6.25000000E-002	     5.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.25396000E-001	     4.41455329E-001	    -4.34564825E-001	     2.82870538E+000
     1.00000000E+001	     6.25000000E-002	     6.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.79310000E-002	     4.41455329E-001	     2.45197993E+000	     2.87213375E+000
     1.00000000E+001	     3.12500000E-002	     3.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.86148000E-001	     4.41455329E-001	    -1.51459139E+001	     5.16294188E+000
     1.00000000E+001	     3.12500000E-002	     4.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.22138000E-001	     4.41455329E-001	    -1.26183524E+000	     5.13547548E+000
     1.00000000E+001	     3.12500000E-002	     5.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.25305000E-001	     4.41455329E-001	    -1.09124052E+001	     8.17696784E+000
     1.00000000E+001	     3.12500000E-002	     6.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.78130000E-002	     4.41455329E-001	     2.60039206E+000	     7.74317943E+000
     1.00000000E+001	     1.56250000E-002	     3.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.85934000E-001	     4.41455329E-001	     3.76388594E+000	     1.54885116E+001
     1.00000000E+001	     1.56250000E-002	     4.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.21936000E-001	     4.41455329E-001	    -2.85003427E+001	     1.49640623E+001
     1.00000000E+001	     1.56250000E-002	     5.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.25113000E-001	     4.41455329E-001	    -2.55429955E-001	     2.23822227E+001
